national_team,club_name,estimated_training_years,players_trained
Switzerland,FC Schwamendingen,2,1
Switzerland,FC Stade Nyonnais,2,1
Switzerland,Koppiger SV,2,1
Tunisia,B.93,2,1
Tunisia,Boulogne-Billancourt,2,1
Tunisia,ES Le Cannet-Rocheville,2,1
Tunisia,FA 2000,2,1
Tunisia,Monaco,2,1
Tunisia,Montpellier,2,1
Tunisia,PSV,2,1
Türkiye,1461 Trabzon,2,1
Türkiye,EDO,2,1
Türkiye,Hisareynspor,2,1
Türkiye,Jahn Regensburg,2,1
Türkiye,Karlsruher II,2,1
Türkiye,Konyaspor,2,1
Türkiye,Sallern Regensburg,2,1
Türkiye,Stormvogels,2,1
Türkiye,Yavuz Selimspor,2,1
Türkiye,Çekmeköyspor,2,1
USA,Brackley Town,2,1
USA,Hammarby IF,2,1
USA,Michigan Rush,2,1
USA,Shawnee Renegades,2,1
Uruguay,La Luz,2,1
Uruguay,San Miguel,2,1
Uzbekistan,Navoi,2,1
Czechia,1. FC Slovácko,1,2
Jordan,Al-Faisaly,1,2
Mexico,Pachuca,1,2
Scotland,St Mirren,1,2
Uzbekistan,Mash'al Mubarek,1,2
Algeria,Dunkerque,1,1
Algeria,Lens,1,1
Algeria,Mouscron,1,1
Algeria,US Torcy,1,1
Argentina,Belgrano,1,1
Argentina,Club Náutico Fitz Simon,1,1
Argentina,Independiente,1,1
Argentina,Santa Clara,1,1
Australia,Bulleen Lions,1,1
Australia,Burnley,1,1
Australia,Fulham,1,1
Australia,Melbourne Victory,1,1
Australia,Portlethen Sports Club,1,1
Australia,Richmond SC,1,1
Australia,SA NTC,1,1
Austria,AKA HIB Liebenau,1,1
Austria,ASK Maxglan,1,1
Austria,FC Augsburg,1,1
Austria,FV Ravensburg,1,1
Austria,Milton Keynes Dons,1,1
Austria,Union SV Vasoldsberg,1,1
Austria,VfB Stuttgart,1,1
Belgium,KVC Olympic Deurne,1,1
Belgium,Lommel United,1,1
Belgium,TSG Hoffenheim,1,1
Belgium,Zulte Waregem,1,1
Bosnia and Herzegovina,Dinamo Zagreb,1,1
Bosnia and Herzegovina,New England Revolution,1,1
Bosnia and Herzegovina,RB Leipzig,1,1
Bosnia and Herzegovina,TSG Hoffenheim,1,1
Bosnia and Herzegovina,Wolfsberger AC,1,1
Cabo Verde,CO Vincennes,1,1
Cabo Verde,RV&AV Sparta Rotterdam,1,1
Cabo Verde,SG Sacavenense,1,1
Cabo Verde,Sporting CP,1,1
Cabo Verde,Twente,1,1
Cabo Verde,UA Povoense,1,1
Canada,Ottawa Internationals,1,1
Canada,Real Colorado,1,1
Canada,Richmond Hill SC,1,1
Canada,Vancouver Whitecaps FC,1,1
Croatia,Bayern Munich,1,1
Croatia,FC Ingolstadt 04,1,1
Croatia,Karlsruher SC,1,1
Croatia,Neretva,1,1
Croatia,TSG Hoffenheim,1,1
Curaçao,LSV,1,1
Curaçao,ODC,1,1
Curaçao,Sarto,1,1
Curaçao,Utrecht,1,1
Curaçao,VVIJ [ nl ],1,1
Curaçao,Willem II,1,1
Czechia,Dukla Prague,1,1
Czechia,Klatovy,1,1
Czechia,PSV,1,1
Czechia,SC Xaverov,1,1
Côte d'Ivoire,Châteauroux,1,1
Côte d'Ivoire,DME Academy,1,1
Côte d'Ivoire,RCDE International,1,1
Côte d'Ivoire,Stade Poitevin FC,1,1
Côte d'Ivoire,Tout Puissant Koumassi,1,1
DR Congo,Montrouge FC 92,1,1
Ecuador,Caribe Junior,1,1
Ecuador,FC Türkiye Wilhelmsburg,1,1
Ecuador,Venecia,1,1
England,Epsom Eagles,1,1
England,PSV Eindhoven,1,1
England,Watford,1,1
France,Arsenal,1,1
France,Reading,1,1
Germany,Karlsruher SC,1,1
Germany,SG Weinstadt,1,1
Ghana,FC Mulhouse,1,1
Ghana,Great Olympics,1,1
Ghana,SGS College,1,1
Ghana,Techiman Liberty FC,1,1
Haiti,AS Montferrand,1,1
IR Iran,Naft Tehran,1,1
IR Iran,Shahrdari Amirkola,1,1
Iraq,Brøndby IF,1,1
Iraq,Ghaz Al-Shamal,1,1
Iraq,IFK Öxnehaga,1,1
Iraq,Motala AIF,1,1
Iraq,Skovbakken,1,1
Iraq,Swansea City,1,1
Japan,Hamamatsu Kaba SSS,1,1
Japan,Higashiyama High School,1,1
Japan,Kashima Gakuen High School,1,1
Japan,Kids FC,1,1
Japan,Kumamoto United SC,1,1
Japan,Obukuro FC,1,1
Japan,Ohzu High School,1,1
Japan,Yamanashi Gakuin University High School,1,1
Japan,Yonago Kita High School,1,1
Jordan,Sporting Kansas City,1,1
Jordan,That Ras,1,1
Korea Republic,Boin High School [ ko ],1,1
Korea Republic,Dongbuk Middle School,1,1
Korea Republic,FC Seoul [ note 1 ],1,1
Korea Republic,Flyings,1,1
Korea Republic,Hakseong High School [ ko ],1,1
Korea Republic,Hamburger SV,1,1
Korea Republic,Incheon United,1,1
Korea Republic,Suwon High School [ ko ],1,1
Korea Republic,Suwon Technical High School,1,1
Mexico,Atlas,1,1
Mexico,Cruz Azul,1,1
Mexico,Pobablo Miguel Alemán FC,1,1
Mexico,Querétaro,1,1
Mexico,Xidoo,1,1
Morocco,Amsterdamsche FC,1,1
Morocco,Barcelona,1,1
Morocco,CH Khadija,1,1
Morocco,HSV De Zuidvogels,1,1
Morocco,Manchester City,1,1
Netherlands,AFC,1,1
Netherlands,Arsenal,1,1
Netherlands,Chelsea,1,1
New Zealand,Forrest Hill Milford United,1,1
New Zealand,Greenhithe,1,1
New Zealand,Miramar Rangers,1,1
New Zealand,Nomads United,1,1
New Zealand,Stokes Valley,1,1
New Zealand,Wellington Phoenix,1,1
Norway,Astor,1,1
Norway,CF La Nucía,1,1
Norway,Flint,1,1
Norway,Ganddal IL,1,1
Norway,Kvik Halden,1,1
Norway,Lyn,1,1
Norway,Manchester City,1,1
Norway,Nordsjælland,1,1
Norway,Rælingen,1,1
Panama,Río Abajo,1,1
Portugal,Evolution Soccer Academy,1,1
Portugal,KACM,1,1
Qatar,? Sevilla (loan),1,1
Qatar,Estoril,1,1
Qatar,Estrela Amadora,1,1
Qatar,JSM Chéraga,1,1
Scotland,Highfield Rangers,1,1
Scotland,Oadby Town,1,1
Scotland,Peterborough United,1,1
Senegal,A.S.C. Tiléne,1,1
Senegal,Boulogne,1,1
Spain,? Eibar (loan),1,1
Spain,CD Amigó,1,1
Spain,Dinamo Zagreb,1,1
Spain,Las Palmas,1,1
Spain,Rayo Vallecano,1,1
Sweden,FC Djursholm,1,1
Sweden,IFK Lidingö,1,1
Sweden,Kista SC,1,1
Sweden,Malmö FF,1,1
Sweden,Partille IF,1,1
Switzerland,FC Heitenried,1,1
Switzerland,Grasshoppers,1,1
Switzerland,Kriens,1,1
Tunisia,BK Vestia,1,1
Tunisia,ESV Einigkeit Wilhelmsburg,1,1
Tunisia,Feyenoord,1,1
Tunisia,Herfølge,1,1
Tunisia,Hertha BSC,1,1
Tunisia,Lyngby,1,1
Tunisia,Manchester United,1,1
Tunisia,SV Wilhelmsburg,1,1
Tunisia,Southampton,1,1
Tunisia,Tromsdalen,1,1
Türkiye,Bucaspor,1,1
Türkiye,Istanbul Basaksehir,1,1
Türkiye,SC West Köln,1,1
Türkiye,Trabzonspor,1,1
Türkiye,Yesil Bursa,1,1
USA,Clarkstown SC,1,1
USA,Greuther Fürth,1,1
USA,Orlando City,1,1
USA,St. Louis Scott Gallagher,1,1
USA,Texans SC Houston,1,1
USA,West Pines United,1,1
Uruguay,Club Unión de Empalme Olmos,1,1
Cabo Verde,Tchadense,0,2
Czechia,Hradec Králové,0,2
Côte d'Ivoire,ASEC Mimosas,0,2
Jordan,Al-Wehdat,0,2
Jordan,Shabab Al-Ordon,0,2
South Africa,SuperSport United,0,2
Uzbekistan,Pakhtakor-2,0,2
Algeria,AS Aïn M'lila,0,1
Bosnia and Herzegovina,Cypriot club Pafos,0,1
Bosnia and Herzegovina,Radnik Hadžici,0,1
Bosnia and Herzegovina,Vitez,0,1
Brazil,Audax Rio,0,1
Cabo Verde,Batuque FC,0,1
Cabo Verde,Dordrecht,0,1
Cabo Verde,Excelsior,0,1
Cabo Verde,Lourdes Celtic,0,1
Cabo Verde,local club Batuque,0,1
Canada,North Toronto Nitros,0,1
Colombia,Academia,0,1
Colombia,América de Cali,0,1
Colombia,Atlético Huila,0,1
Colombia,Atlético Junior,0,1
Colombia,Atlético Nacional,0,1
Colombia,Dorados,0,1
Colombia,Independiente Santa Fe,0,1
Colombia,Köln,0,1
Colombia,La Equidad,0,1
Colombia,Leones,0,1
Colombia,Ligue 2 club Toulouse,0,1
Colombia,Talentos Gustavo Victoria,0,1
Colombia,Águilas Doradas,0,1
Curaçao,Atlétiko Saliña,0,1
Czechia,Baník Ostrava,0,1
Côte d'Ivoire,Denguélé,0,1
Côte d'Ivoire,San Pédro,0,1
Côte d'Ivoire,Solitaire Paris Est,0,1
DR Congo,AS Efokan,0,1
DR Congo,Boavista,0,1
Ecuador,Alianza Sports (seven-a-side),0,1
Egypt,Al Ittihad Alexandria,0,1
Egypt,Ghazl El Mahalla,0,1
Egypt,Gomhoriat Shebin,0,1
Egypt,Ismaily,0,1
Egypt,Mansoura,0,1
Egypt,Nogoom,0,1
Egypt,Zamalek,0,1
Ghana,AZ,0,1
Ghana,Brinkumer SV,0,1
Ghana,Bristol City,0,1
Ghana,Cheetah FC,0,1
Ghana,Odometah,0,1
Ghana,Red Bull Ghana,0,1
Ghana,Sturm Graz,0,1
Haiti,Miami United,0,1
Haiti,Seacoast United,0,1
Haiti,Xerez,0,1
IR Iran,Foolad,0,1
IR Iran,Havadar,0,1
IR Iran,Naft Ahvaz,0,1
IR Iran,Padideh,0,1
IR Iran,Shahin Bushehr,0,1
IR Iran,Sorkhpooshan,0,1
Iraq,Al-Iskan,0,1
Iraq,Al-Najaf,0,1
Iraq,Arminia Hannover,0,1
Iraq,Erbil,0,1
Iraq,Eskilstuna City,0,1
Iraq,Karbala,0,1
Iraq,Malmö FF,0,1
Iraq,Sale United,0,1
Jordan,Al-Ramtha,0,1
Jordan,Al-Wehdat SC,0,1
Mexico,América,0,1
Mexico,Fútbol Paz,0,1
Mexico,Tigres UANL,0,1
Netherlands,VV Goes,0,1
New Zealand,Auckland City,0,1
New Zealand,Mount Maunganui Junior FC,0,1
New Zealand,Selwyn United,0,1
New Zealand,Three Kings United,0,1
Norway,Asker,0,1
Norway,Bergen Nord,0,1
Norway,Mork IL,0,1
Norway,Strindheim,0,1
Norway,Åndalsnes IF,0,1
Panama,Alianza FC,0,1
Panama,Boluspor,0,1
Panama,CA Independiente,0,1
Panama,LA Galaxy II,0,1
Panama,San Francisco,0,1
Panama,Sporting San Miguelito,0,1
Panama,Tauro,0,1
Panama,Toluca,0,1
Panama,Árabe Unido,0,1
Paraguay,FC Juárez,0,1
Paraguay,Guaraní,0,1
Qatar,ASPIRE,0,1
Qatar,Al-Gharafa,0,1
Qatar,Lorient,0,1
Saudi Arabia,Al-Fateh,0,1
Saudi Arabia,Al-Muheet,0,1
Senegal,Galaxy Football Academy,0,1
Senegal,Norwegian club Hønefoss,0,1
South Africa,Baroka,0,1
South Africa,Florida Park High School,0,1
South Africa,Island Rovers AFC,0,1
South Africa,JDR Stars,0,1
South Africa,KZN Academy,0,1
South Africa,Kenpark United,0,1
South Africa,Kwamashu Arsenal,0,1
South Africa,Makhasa F.C.,0,1
South Africa,Mangasuthu University of Technology,0,1
South Africa,School of Excellence,0,1
South Africa,Shatterprufe Rovers,0,1
South Africa,Stellenbosch,0,1
South Africa,Transnet School of Excellence,0,1
Spain,Amigó,0,1
Sweden,IFK Stocksund,0,1
Sweden,IK Oddevold,0,1
Tunisia,AS Degache,0,1
Tunisia,Buxtehuder SV,0,1
Tunisia,CO Médenine,0,1
Tunisia,Club Sportif Sfaxien,0,1
Tunisia,Sfax RS,0,1
Uruguay,Juventud de Las Piedras,0,1
Uruguay,Liverpool Montevideo,0,1
Uzbekistan,Bunyodkor-2,0,1
Uzbekistan,Pakhtakor Tashkent,0,1
Uzbekistan,RKOR Tashkent,0,1
Uzbekistan,Shakhtar Donetsk,0,1
